,# Least: 10,# Least: 20,# Least: 30,# Least: 40,# Least: 50
0,0.7284658615642665,1.697477005542691,4.654328573991071,1.3964865344667088,1.0372789292855749
1,0.9042344946853779,1.5273277912602972,1.1696062138845515,1.1173237560478602,1.9085916633254476
2,1.160675652938469,3.048695040590508,3.0290722320185037,2.4133574886590847,2.3650997181526003
3,0.9071753153103996,1.3841205843395747,0.8240464750693509,0.6625632034216116,1.1833175718918156
4,3.424963703254853,2.1960517546207883,3.5175009808111457,2.404150399579651,3.128940444969849
5,0.2567831443342573,0.6770980692127594,1.3725753465886343,0.6794238809692212,0.2379049250855564
6,4.20694535835853,3.506173254381307,4.620862306590837,4.124746526365629,3.9882966316977297
7,0.33552773072154374,0.6663585472068075,0.7542916468578659,0.9496614348428792,1.0391664249545463
8,0.5894752526023339,0.8428376958736297,1.1541617738659389,1.1578860746540107,1.2779999585830717
9,5.122235276509714,51.70547724129008,3.766550430839807,5.311204961750493,5.359520627375557
10,14.216400383097355,1.5141253376105204,14.800825105591914,7.963596055815987,10.742995409354668
11,-0.0,-0.0,-0.0,-0.0,-0.0
12,5.085062585304822,8.782493204928121,6.665603407573901,6.677677275707622,6.1394075400821055
13,0.2418191461825145,0.24975208894368536,0.2932630164293693,0.26395857912192455,0.23750461750124802
14,2.550781569296461,2.078076029866862,7.4406895564004305,2.721110892720565,2.4857802667984834
15,7.542384127427666,21.87251000353119,5.399461832081208,7.000106460938195,10.974514800358001
16,0.2392872662826382,0.5193709296711035,0.23105343777789356,0.3362956656153316,0.42924140630015223
17,4.547228278240516,7.308337823402021,7.0018410129576,6.118417212137679,9.528834670242674
18,7.638595619729484,3.3204285588892573,3.48314331476647,3.0398582000749172,2.459294249744807
19,465.1441594676267,16.496006280845826,14.027780825914599,23.516457615233215,10.42942996196072
20,13.523094797750046,6.8743183658536156,3.5578198786954975,4.318226162011937,4.380774018079127
21,1.551855227141651,9.458928164222472,1.5448674911825446,4.481989687491125,3.6717518475786832
22,0.3094064484086152,0.6265875821482155,0.3481517030604274,0.3843865919978629,0.43223157600891654
23,1.1790482818762853,0.5264334346060036,1.3513270541273255,0.9257841941234262,0.8950379312937277
24,3.384055635303203,3.2199348611446825,3.134690507387628,3.2814466888447407,3.41463786932797
25,0.9517830754561522,0.931514736483367,0.7027470853499269,0.7646477919106927,0.6313483689380072
26,7.526128706223272,4.838383505330249,7.52775156766284,6.114332380366228,6.590797771934313
27,4.948193259859447,5.5078874313293475,6.385346838736769,5.597116035214725,6.83967208362151
28,11.999784524495066,19.619295106704552,43.986124164102534,29.143423955659255,33.313140652886645
29,0.7555827115856972,0.5801003597056863,2.8955106391562535,2.4093209663283846,1.8034885166468841
30,0.5950666722534345,1.1588411214310794,1.7337494456043774,0.9698497819096749,1.27711994966147
31,1.1665830459004032,1.068484182164325,3.358279197084317,1.1024706050076132,0.990749188187044
32,5.272054269758642,2.3383088480046488,2.839964766945143,2.787312132243022,2.4264222332073215
33,-0.0,-0.0,-0.0,-0.0,-0.0
34,0.8991176408973007,1.7604914938345646,1.6725270858940768,1.3040172478621264,1.3264619243126266
35,0.7187089234999834,0.8159223754391158,0.5580290383567313,0.53005959833378,0.5549427313284135
36,57.93922102418622,0.9980336194729433,47.552553667213985,190.4518091992398,222.27315677105184
37,1.1852746132497731,1.6968800300189637,1.106876203376744,1.6985979543598462,1.4469556839657223
38,7.813215129380882,71.66592396662017,9.171341140042127,49.506050768828004,7.497772456095618
39,1.5836603994869058,2.2405166735281696,1.981902651078281,1.867749852449361,3.0082783489085467
40,3.606578872298026,4.002101865716405,3.4263779800551935,4.93210085478729,3.1189876317273346
41,105.60429299640964,21.805888783266226,8.666063030244587,9.843865889639504,11.165873945965524
42,22.96514668871812,26.228343673877518,5.167504656771479,8.934827783594988,42.7982200220287
43,6.4088624488300825,10.026131007895167,29.358354999686743,6.372775009629502,9.26523356555798
